"size","move","farmStay","habFact","ppue"
0,0,1,1,14.6085768790351
0,0,1,2,14.6085768790351
0,0,1,3,14.6085768790351
0,0,1,4,14.6085768790351
0,0,10,1,14.6085768790351
0,0,10,2,14.6085768790351
0,0,10,3,14.6085768790351
0,0,10,4,14.6085768790351
0,0,20,1,14.6085768790351
0,0,20,2,14.6085768790351
0,0,20,3,14.6085768790351
0,0,20,4,14.6085768790351
0,0,30,1,14.6085768790351
0,0,30,2,14.6085768790351
0,0,30,3,14.6085768790351
0,0,30,4,14.6085768790351
0,0,40,1,14.6085768790351
0,0,40,2,14.6085768790351
0,0,40,3,14.6085768790351
0,0,40,4,14.6085768790351
0,0,50,1,14.6085768790351
0,0,50,2,14.6085768790351
0,0,50,3,14.6085768790351
0,0,50,4,14.6085768790351
0,0,60,1,14.6085768790351
0,0,60,2,14.6085768790351
0,0,60,3,14.6085768790351
0,0,60,4,14.6085768790351
0,0,70,1,14.6085768790351
0,0,70,2,14.6085768790351
0,0,70,3,14.6085768790351
0,0,70,4,14.6085768790351
0,0,80,1,14.6085768790351
0,0,80,2,14.6085768790351
0,0,80,3,14.6085768790351
0,0,80,4,14.6085768790351
0,0,90,1,14.6085768790351
0,0,90,2,14.6085768790351
0,0,90,3,14.6085768790351
0,0,90,4,14.6085768790351
0,0,100,1,14.6085768790351
0,0,100,2,14.6085768790351
0,0,100,3,14.6085768790351
0,0,100,4,14.6085768790351
0.1,0,1,1,14.6154497712501
0.1,0,1,2,14.1715501954444
0.1,0,1,3,13.8021132507722
0.1,0,1,4,13.4492196241301
0.1,0,10,1,14.6162701455408
0.1,0,10,2,14.1715609715335
0.1,0,10,3,13.7731475116033
0.1,0,10,4,13.490687367253
0.1,0,20,1,14.6162639044398
0.1,0,20,2,14.1715618781672
0.1,0,20,3,13.8024000601178
0.1,0,20,4,13.4492196241301
0.1,0,30,1,14.6154497712501
0.1,0,30,2,14.1715619557447
0.1,0,30,3,13.8024343130617
0.1,0,30,4,13.490687367253
0.1,0,40,1,14.6162701467286
0.1,0,40,2,14.0542865985576
0.1,0,40,3,13.8024000601178
0.1,0,40,4,13.4906214275509
0.1,0,50,1,14.6133424525957
0.1,0,50,2,14.1714398470316
0.1,0,50,3,13.8021132507722
0.1,0,50,4,13.4901125877914
0.1,0,60,1,14.6154497712501
0.1,0,60,2,14.1715618781672
0.1,0,60,3,13.8024000601178
0.1,0,60,4,13.4862557570939
0.1,0,70,1,14.6154497712501
0.1,0,70,2,14.1715619505379
0.1,0,70,3,13.8024343130617
0.1,0,70,4,12.4439835649155
0.1,0,80,1,14.6162701251061
0.1,0,80,2,14.1715501954444
0.1,0,80,3,13.8021132507722
0.1,0,80,4,13.4492196241301
0.1,0,90,1,14.6162701251061
0.1,0,90,2,14.1715619557447
0.1,0,90,3,13.8024340726624
0.1,0,90,4,13.4906214275509
0.1,0,100,1,14.6162639044398
0.1,0,100,2,14.1715618781672
0.1,0,100,3,13.8024340726624
0.1,0,100,4,13.4906214275509
0.2,0,1,1,14.625766720491
0.2,0,1,2,14.0420496728084
0.2,0,1,3,13.6004607845232
0.2,0,1,4,12.812602197025
0.2,0,10,1,14.6224801139236
0.2,0,10,2,13.8155577371368
0.2,0,10,3,13.4522477567307
0.2,0,10,4,13.0903406847154
0.2,0,20,1,14.6225856580027
0.2,0,20,2,13.9058848139615
0.2,0,20,3,12.6965567258974
0.2,0,20,4,13.3224763524941
0.2,0,30,1,14.6225856515562
0.2,0,30,2,13.6333908045596
0.2,0,30,3,12.9285515499031
0.2,0,30,4,13.3224745613408
0.2,0,40,1,14.6248508231447
0.2,0,40,2,13.8169884033752
0.2,0,40,3,12.7222436966258
0.2,0,40,4,11.7888142315668
0.2,0,50,1,14.622480088392
0.2,0,50,2,13.9355561106541
0.2,0,50,3,13.6296030449876
0.2,0,50,4,13.0897643569988
0.2,0,60,1,14.6215499226813
0.2,0,60,2,13.0882919323378
0.2,0,60,3,13.420308574211
0.2,0,60,4,13.3569891549469
0.2,0,70,1,14.6215499226813
0.2,0,70,2,14.0273762909632
0.2,0,70,3,12.9006868994137
0.2,0,70,4,12.3681939460615
0.2,0,80,1,14.6249567619115
0.2,0,80,2,13.6335241909283
0.2,0,80,3,11.9976742371093
0.2,0,80,4,13.0862895655519
0.2,0,90,1,14.6256607841702
0.2,0,90,2,14.025966293704
0.2,0,90,3,12.6969461754005
