"year","size","farmStay","habFact","ppue"
2,0,1,1,18.1042974803516
3,0,1,1,17.71653092808
4,0,1,1,17.3434447503972
5,0,1,1,16.991315296066
6,0,1,1,16.6656571382512
7,0,1,1,16.3702117210169
8,0,1,1,16.1067267225085
9,0,1,1,15.8751848059602
10,0,1,1,15.6742239763727
11,0,1,1,15.5015913463437
12,0,1,1,15.3545385213231
13,0,1,1,15.2301271680323
14,0,1,1,15.125444338195
15,0,1,1,15.0377406616062
16,0,1,1,14.9645086688287
17,0,1,1,14.9035179385349
18,0,1,1,14.8528211690134
19,0,1,1,14.8107420900607
20,0,1,1,14.7758531637977
21,0,1,1,14.7469485534287
22,0,1,1,14.7230159281706
23,0,1,1,14.7032092740916
24,0,1,1,14.6868239052912
25,0,1,1,14.6732742210835
26,0,1,1,14.6620743452579
27,0,1,1,14.652821172435
28,0,1,1,14.6451672593822
29,0,1,1,14.6388298399953
30,0,1,1,14.6335784775818
31,0,1,1,14.6292243987205
32,0,1,1,14.6256125765701
33,0,1,1,14.6226154163817
34,0,1,1,14.6201276979278
35,0,1,1,14.6180624697475
36,0,1,1,14.6163477806506
37,0,1,1,14.6149240294406
38,0,1,1,14.6137418042885
39,0,1,1,14.6127601155118
40,0,1,1,14.6119449450266
41,0,1,1,14.6112680521199
42,0,1,1,14.6107059876563
43,0,1,1,14.6102392788413
44,0,1,1,14.6098517540156
45,0,1,1,14.6095299827967
46,0,1,1,14.6092628114981
47,0,1,1,14.6090409774081
48,0,1,1,14.6088567884388
49,0,1,1,14.60870385702
50,0,1,1,14.6085768790351
2,0,1,2,18.1042974803516
3,0,1,2,17.71653092808
4,0,1,2,17.3434447503972
5,0,1,2,16.991315296066
6,0,1,2,16.6656571382512
7,0,1,2,16.3702117210169
8,0,1,2,16.1067267225085
9,0,1,2,15.8751848059602
10,0,1,2,15.6742239763727
11,0,1,2,15.5015913463437
12,0,1,2,15.3545385213231
13,0,1,2,15.2301271680323
14,0,1,2,15.125444338195
15,0,1,2,15.0377406616062
16,0,1,2,14.9645086688287
17,0,1,2,14.9035179385349
18,0,1,2,14.8528211690134
19,0,1,2,14.8107420900607
20,0,1,2,14.7758531637977
21,0,1,2,14.7469485534287
22,0,1,2,14.7230159281706
23,0,1,2,14.7032092740916
24,0,1,2,14.6868239052912
25,0,1,2,14.6732742210835
26,0,1,2,14.6620743452579
27,0,1,2,14.652821172435
28,0,1,2,14.6451672593822
29,0,1,2,14.6388298399953
30,0,1,2,14.6335784775818
31,0,1,2,14.6292243987205
32,0,1,2,14.6256125765701
33,0,1,2,14.6226154163817
34,0,1,2,14.6201276979278
35,0,1,2,14.6180624697475
36,0,1,2,14.6163477806506
37,0,1,2,14.6149240294406
38,0,1,2,14.6137418042885
39,0,1,2,14.6127601155118
40,0,1,2,14.6119449450266
41,0,1,2,14.6112680521199
42,0,1,2,14.6107059876563
43,0,1,2,14.6102392788413
44,0,1,2,14.6098517540156
45,0,1,2,14.6095299827967
46,0,1,2,14.6092628114981
47,0,1,2,14.6090409774081
48,0,1,2,14.6088567884388
49,0,1,2,14.60870385702
50,0,1,2,14.6085768790351
2,0,1,3,18.1042974803516
3,0,1,3,17.71653092808
4,0,1,3,17.3434447503972
5,0,1,3,16.991315296066
6,0,1,3,16.6656571382512
7,0,1,3,16.3702117210169
8,0,1,3,16.1067267225085
9,0,1,3,15.8751848059602
10,0,1,3,15.6742239763727
11,0,1,3,15.5015913463437
12,0,1,3,15.3545385213231
13,0,1,3,15.2301271680323
14,0,1,3,15.125444338195
15,0,1,3,15.0377406616062
16,0,1,3,14.9645086688287
17,0,1,3,14.9035179385349
18,0,1,3,14.8528211690134
19,0,1,3,14.8107420900607
20,0,1,3,14.7758531637977
21,0,1,3,14.7469485534287
22,0,1,3,14.7230159281706
23,0,1,3,14.7032092740916
24,0,1,3,14.6868239052912
25,0,1,3,14.6732742210835
26,0,1,3,14.6620743452579
27,0,1,3,14.652821172435
28,0,1,3,14.6451672593822
29,0,1,3,14.6388298399953
30,0,1,3,14.6335784775818
31,0,1,3,14.6292243987205
32,0,1,3,14.6256125765701
33,0,1,3,14.6226154163817
34,0,1,3,14.6201276979278
35,0,1,3,14.6180624697475
36,0,1,3,14.6163477806506
37,0,1,3,14.6149240294406
38,0,1,3,14.6137418042885
39,0,1,3,14.6127601155118
40,0,1,3,14.6119449450266
41,0,1,3,14.6112680521199
42,0,1,3,14.6107059876563
43,0,1,3,14.6102392788413
44,0,1,3,14.6098517540156
45,0,1,3,14.6095299827967
46,0,1,3,14.6092628114981
47,0,1,3,14.6090409774081
48,0,1,3,14.6088567884388
49,0,1,3,14.60870385702
50,0,1,3,14.6085768790351
2,0,1,4,18.1042974803516
3,0,1,4,17.71653092808
4,0,1,4,17.3434447503972
5,0,1,4,16.991315296066
6,0,1,4,16.6656571382512
7,0,1,4,16.3702117210169
8,0,1,4,16.1067267225085
9,0,1,4,15.8751848059602
10,0,1,4,15.6742239763727
11,0,1,4,15.5015913463437
12,0,1,4,15.3545385213231
13,0,1,4,15.2301271680323
14,0,1,4,15.125444338195
15,0,1,4,15.0377406616062
16,0,1,4,14.9645086688287
17,0,1,4,14.9035179385349
18,0,1,4,14.8528211690134
19,0,1,4,14.8107420900607
20,0,1,4,14.7758531637977
21,0,1,4,14.7469485534287
22,0,1,4,14.7230159281706
23,0,1,4,14.7032092740916
24,0,1,4,14.6868239052912
25,0,1,4,14.6732742210835
26,0,1,4,14.6620743452579
27,0,1,4,14.652821172435
28,0,1,4,14.6451672593822
29,0,1,4,14.6388298399953
30,0,1,4,14.6335784775818
31,0,1,4,14.6292243987205
32,0,1,4,14.6256125765701
33,0,1,4,14.6226154163817
34,0,1,4,14.6201276979278
35,0,1,4,14.6180624697475
36,0,1,4,14.6163477806506
37,0,1,4,14.6149240294406
38,0,1,4,14.6137418042885
39,0,1,4,14.6127601155118
40,0,1,4,14.6119449450266
41,0,1,4,14.6112680521199
42,0,1,4,14.6107059876563
43,0,1,4,14.6102392788413
44,0,1,4,14.6098517540156
45,0,1,4,14.6095299827967
46,0,1,4,14.6092628114981
47,0,1,4,14.6090409774081
48,0,1,4,14.6088567884388
49,0,1,4,14.60870385702
50,0,1,4,14.6085768790351
2,0,2,1,18.1042974803516
3,0,2,1,17.71653092808
4,0,2,1,17.3434447503972
5,0,2,1,16.991315296066
6,0,2,1,16.6656571382512
7,0,2,1,16.3702117210169
8,0,2,1,16.1067267225085
9,0,2,1,15.8751848059602
10,0,2,1,15.6742239763727
11,0,2,1,15.5015913463437
12,0,2,1,15.3545385213231
13,0,2,1,15.2301271680323
14,0,2,1,15.125444338195
15,0,2,1,15.0377406616062
16,0,2,1,14.9645086688287
17,0,2,1,14.9035179385349
18,0,2,1,14.8528211690134
19,0,2,1,14.8107420900607
20,0,2,1,14.7758531637977
21,0,2,1,14.7469485534287
22,0,2,1,14.7230159281706
23,0,2,1,14.7032092740916
24,0,2,1,14.6868239052912
25,0,2,1,14.6732742210835
26,0,2,1,14.6620743452579
27,0,2,1,14.652821172435
28,0,2,1,14.6451672593822
29,0,2,1,14.6388298399953
30,0,2,1,14.6335784775818
31,0,2,1,14.6292243987205
32,0,2,1,14.6256125765701
33,0,2,1,14.6226154163817
34,0,2,1,14.6201276979278
35,0,2,1,14.6180624697475
36,0,2,1,14.6163477806506
37,0,2,1,14.6149240294406
38,0,2,1,14.6137418042885
39,0,2,1,14.6127601155118
40,0,2,1,14.6119449450266
41,0,2,1,14.6112680521199
42,0,2,1,14.6107059876563
43,0,2,1,14.6102392788413
44,0,2,1,14.6098517540156
45,0,2,1,14.6095299827967
46,0,2,1,14.6092628114981
47,0,2,1,14.6090409774081
48,0,2,1,14.6088567884388
49,0,2,1,14.60870385702
50,0,2,1,14.6085768790351
2,0,2,2,18.1042974803516
3,0,2,2,17.71653092808
4,0,2,2,17.3434447503972
5,0,2,2,16.991315296066
6,0,2,2,16.6656571382512
7,0,2,2,16.3702117210169
8,0,2,2,16.1067267225085
9,0,2,2,15.8751848059602
10,0,2,2,15.6742239763727
11,0,2,2,15.5015913463437
12,0,2,2,15.3545385213231
13,0,2,2,15.2301271680323
14,0,2,2,15.125444338195
15,0,2,2,15.0377406616062
16,0,2,2,14.9645086688287
17,0,2,2,14.9035179385349
18,0,2,2,14.8528211690134
19,0,2,2,14.8107420900607
20,0,2,2,14.7758531637977
21,0,2,2,14.7469485534287
22,0,2,2,14.7230159281706
23,0,2,2,14.7032092740916
24,0,2,2,14.6868239052912
25,0,2,2,14.6732742210835
26,0,2,2,14.6620743452579
27,0,2,2,14.652821172435
28,0,2,2,14.6451672593822
29,0,2,2,14.6388298399953
30,0,2,2,14.6335784775818
31,0,2,2,14.6292243987205
32,0,2,2,14.6256125765701
33,0,2,2,14.6226154163817
34,0,2,2,14.6201276979278
35,0,2,2,14.6180624697475
36,0,2,2,14.6163477806506
37,0,2,2,14.6149240294406
38,0,2,2,14.6137418042885
39,0,2,2,14.6127601155118
40,0,2,2,14.6119449450266
41,0,2,2,14.6112680521199
42,0,2,2,14.6107059876563
43,0,2,2,14.6102392788413
44,0,2,2,14.6098517540156
45,0,2,2,14.6095299827967
46,0,2,2,14.6092628114981
47,0,2,2,14.6090409774081
48,0,2,2,14.6088567884388
49,0,2,2,14.60870385702
50,0,2,2,14.6085768790351
2,0,2,3,18.1042974803516
3,0,2,3,17.71653092808
4,0,2,3,17.3434447503972
5,0,2,3,16.991315296066
6,0,2,3,16.6656571382512
7,0,2,3,16.3702117210169
8,0,2,3,16.1067267225085
9,0,2,3,15.8751848059602
10,0,2,3,15.6742239763727
11,0,2,3,15.5015913463437
12,0,2,3,15.3545385213231
13,0,2,3,15.2301271680323
14,0,2,3,15.125444338195
15,0,2,3,15.0377406616062
16,0,2,3,14.9645086688287
17,0,2,3,14.9035179385349
18,0,2,3,14.8528211690134
19,0,2,3,14.8107420900607
20,0,2,3,14.7758531637977
21,0,2,3,14.7469485534287
22,0,2,3,14.7230159281706
23,0,2,3,14.7032092740916
24,0,2,3,14.6868239052912
25,0,2,3,14.6732742210835
26,0,2,3,14.6620743452579
27,0,2,3,14.652821172435
28,0,2,3,14.6451672593822
29,0,2,3,14.6388298399953
30,0,2,3,14.6335784775818
31,0,2,3,14.6292243987205
32,0,2,3,14.6256125765701
33,0,2,3,14.6226154163817
34,0,2,3,14.6201276979278
35,0,2,3,14.6180624697475
36,0,2,3,14.6163477806506
37,0,2,3,14.6149240294406
38,0,2,3,14.6137418042885
39,0,2,3,14.6127601155118
40,0,2,3,14.6119449450266
41,0,2,3,14.6112680521199
42,0,2,3,14.6107059876563
43,0,2,3,14.6102392788413
44,0,2,3,14.6098517540156
45,0,2,3,14.6095299827967
46,0,2,3,14.6092628114981
47,0,2,3,14.6090409774081
48,0,2,3,14.6088567884388
49,0,2,3,14.60870385702
50,0,2,3,14.6085768790351
2,0,2,4,18.1042974803516
