"year","size","farmStay","habFact","ppue","catch"
2,0,1,1,18.1042974803516,319112.501956572
3,0,1,1,17.71653092808,314010.647345109
4,0,1,1,17.3434447503972,309972.971742412
5,0,1,1,16.991315296066,306743.75617414
6,0,1,1,16.6656571382512,304153.000113396
7,0,1,1,16.3702117210169,302066.861411934
8,0,1,1,16.1067267225085,300379.403759004
9,0,1,1,15.8751848059602,299006.864749785
10,0,1,1,15.6742239763727,297886.335315181
11,0,1,1,15.5015913463437,296968.491481103
12,0,1,1,15.3545385213231,296214.383779668
13,0,1,1,15.2301271680323,295593.179253152
14,0,1,1,15.125444338195,295080.335969131
15,0,1,1,15.0377406616062,294656.198820146
16,0,1,1,14.9645086688287,294304.926303875
17,0,1,1,14.9035179385349,294013.682924423
18,0,1,1,14.8528211690134,293772.013781246
19,0,1,1,14.8107420900607,293571.363142207
20,0,1,1,14.7758531637977,293404.701903264
21,0,1,1,14.7469485534287,293266.236640365
22,0,1,1,14.7230159281706,293151.180234993
23,0,1,1,14.7032092740916,293055.569326244
24,0,1,1,14.6868239052912,292976.117770015
25,0,1,1,14.6732742210835,292910.098042131
26,0,1,1,14.6620743452579,292855.244598726
27,0,1,1,14.652821172435,292809.674687626
28,0,1,1,14.6451672593822,292771.823171618
29,0,1,1,14.6388298399953,292740.38864338
30,0,1,1,14.6335784775818,292714.286729215
31,0,1,1,14.6292243987205,292692.614706672
32,0,1,1,14.6256125765701,292674.621739102
33,0,1,1,14.6226154163817,292659.683698844
34,0,1,1,14.6201276979278,292647.282029745
35,0,1,1,14.6180624697475,292636.986045847
36,0,1,1,14.6163477806506,292628.438137279
37,0,1,1,14.6149240294406,292621.341413018
38,0,1,1,14.6137418042885,292615.449411877
39,0,1,1,14.6127601155118,292610.557545199
40,0,1,1,14.6119449450266,292606.495984888
41,0,1,1,14.6112680521199,292603.123756106
42,0,1,1,14.6107059876563,292600.323832572
43,0,1,1,14.6102392788413,292597.99906539
44,0,1,1,14.6098517540156,292596.068804206
